product_id,date,store_id,current_stock,daily_demand,lead_time_days,supplier_reliability_score,promotion_active,weather_impact,stockout_risk,lead_time_demand,safety_stock,reorder_point,target_stock,recommended_order,stock_cover_days,stockout_probability,ml_risk,status
P1104,2024-04-14,S1,174,95,5,74,No,Medium,No,475,137.09,612.09,1277.09,1103.09,1.83,31.42,Low,Critical - Reorder Now
P1105,2024-04-15,S3,339,22,13,91,No,Low,No,286,204.42,490.42,644.42,305.42,15.41,10.51,Low,Critical - Reorder Now
P1106,2024-04-16,S5,337,25,1,92,No,Medium,No,25,56.43,81.43,256.43,0.0,13.48,10.14,Low,Overstock
P1107,2024-04-17,S15,145,96,7,76,No,High,No,672,160.77,832.77,1504.77,1359.77,1.51,30.36,Low,Critical - Reorder Now
P1108,2024-04-18,S14,449,103,9,83,Yes,Medium,Yes,927,176.6,1103.6,1824.6,1375.6,4.36,71.42,High,Critical - Reorder Now
P1109,2024-04-19,S3,323,90,1,89,Yes,High,Yes,90,57.24,147.24,777.24,454.24,3.59,68.9,Medium,Low Stock
P1110,2024-04-20,S1,477,108,13,72,Yes,Medium,No,1404,223.01,1627.01,2383.01,1906.01,4.42,24.82,Low,Critical - Reorder Now
P1111,2024-04-21,S5,160,27,2,75,No,Medium,No,54,86.32,140.32,329.32,169.32,5.93,20.48,Low,Low Stock
P1112,2024-04-22,S14,126,68,3,61,Yes,Medium,No,204,112.3,316.3,792.3,666.3,1.85,9.95,Low,Critical - Reorder Now
P1113,2024-04-23,S7,419,71,3,76,Yes,Low,No,213,105.25,318.25,815.25,396.25,5.9,20.26,Low,Low Stock
P1114,2024-04-24,S9,81,44,8,91,No,Medium,Yes,352,160.36,512.36,820.36,739.36,1.84,71.75,High,Critical - Reorder Now
P1115,2024-04-25,S15,484,118,7,67,Yes,High,No,826,167.23,993.23,1819.23,1335.23,4.1,22.99,Low,Critical - Reorder Now
P1116,2024-04-26,S15,146,14,6,62,No,High,No,84,158.15,242.15,340.15,194.15,10.43,13.66,Low,Critical - Reorder Now
P1117,2024-04-27,S10,238,93,10,71,Yes,Low,No,930,196.45,1126.45,1777.45,1539.45,2.56,28.27,Low,Critical - Reorder Now
P1118,2024-04-28,S13,411,56,10,79,Yes,Low,No,560,189.58,749.58,1141.58,730.58,7.34,22.07,Low,Critical - Reorder Now
P1119,2024-04-29,S19,423,117,11,75,No,High,Yes,1287,202.44,1489.44,2308.44,1885.44,3.62,66.78,Medium,Critical - Reorder Now
P1120,2024-04-30,S7,83,76,4,73,Yes,Medium,No,304,123.16,427.16,959.16,876.16,1.09,25.44,Low,Critical - Reorder Now
P1121,2024-05-01,S17,112,79,9,75,No,High,Yes,711,183.11,894.11,1447.11,1335.11,1.42,65.56,Medium,Critical - Reorder Now
P1122,2024-05-02,S20,224,65,1,92,No,Low,Yes,65,56.43,121.43,576.43,352.43,3.45,75.56,High,High Risk
P1123,2024-05-03,S4,331,68,11,89,Yes,Low,No,748,189.84,937.84,1413.84,1082.84,4.87,25.95,Low,Critical - Reorder Now
P1124,2024-05-04,S5,377,9,2,71,Yes,High,No,18,87.85,105.85,168.85,0.0,41.89,13.49,Low,Overstock
P1125,2024-05-05,S7,242,113,14,74,No,Medium,No,1582,229.39,1811.39,2602.39,2360.39,2.14,13.46,Low,Critical - Reorder Now
P1126,2024-05-06,S13,142,57,4,77,Yes,Medium,No,228,120.99,348.99,747.99,605.99,2.49,27.92,Low,Critical - Reorder Now
P1127,2024-05-07,S15,40,59,3,87,Yes,Low,No,177,100.08,277.08,690.08,650.08,0.68,12.4,Low,Critical - Reorder Now
P1128,2024-05-08,S11,422,41,1,82,No,High,No,41,59.14,100.14,387.14,0.0,10.29,14.44,Low,Healthy
P1129,2024-05-09,S4,257,60,5,73,No,High,Yes,300,137.7,437.7,857.7,600.7,4.28,23.06,Low,Critical - Reorder Now
P1130,2024-05-10,S13,446,63,7,89,No,Low,No,441,151.44,592.44,1033.44,587.44,7.08,23.6,Low,Critical - Reorder Now
P1131,2024-05-11,S7,284,113,2,92,No,High,No,226,79.8,305.8,1096.8,812.8,2.51,36.11,Low,Critical - Reorder Now
P1132,2024-05-12,S19,104,106,5,74,No,Low,No,530,137.09,667.09,1409.09,1305.09,0.98,26.33,Low,Critical - Reorder Now
P1133,2024-05-13,S2,201,97,6,66,Yes,Medium,Yes,582,155.49,737.49,1416.49,1215.49,2.07,61.47,Medium,Critical - Reorder Now
P1134,2024-05-14,S10,449,73,11,74,No,Medium,Yes,803,203.34,1006.34,1517.34,1068.34,6.15,27.54,Low,Critical - Reorder Now
P1135,2024-05-15,S13,306,77,7,97,No,High,No,539,145.7,684.7,1223.7,917.7,3.97,22.04,Low,Critical - Reorder Now
P1136,2024-05-16,S6,330,63,1,70,No,Medium,No,63,62.39,125.39,566.39,236.39,5.24,15.66,Low,Low Stock
P1137,2024-05-17,S12,460,116,7,88,No,Medium,No,812,152.16,964.16,1776.16,1316.16,3.97,28.52,Low,Critical - Reorder Now
P1138,2024-05-18,S12,265,6,4,90,Yes,Low,No,24,113.94,137.94,179.94,0.0,44.17,29.34,Low,Overstock
P1139,2024-05-19,S20,397,69,8,84,Yes,Low,No,552,165.73,717.73,1200.73,803.73,5.75,19.19,Low,Critical - Reorder Now
P1140,2024-05-20,S11,209,108,13,83,No,High,No,1404,212.25,1616.25,2372.25,2163.25,1.94,14.28,Low,Critical - Reorder Now
P1141,2024-05-21,S7,50,64,4,78,No,Low,No,256,120.45,376.45,824.45,774.45,0.78,23.46,Low,Critical - Reorder Now
P1142,2024-05-22,S1,117,55,6,61,Yes,High,Yes,330,158.81,488.81,873.81,756.81,2.13,19.1,Low,Critical - Reorder Now
P1143,2024-05-23,S1,200,34,9,81,Yes,High,No,306,178.23,484.23,722.23,522.23,5.88,17.62,Low,Critical - Reorder Now
P1144,2024-05-24,S20,376,15,5,79,No,Low,No,75,134.06,209.06,314.06,0.0,25.07,17.69,Low,Healthy
P1145,2024-05-25,S13,38,96,14,92,No,Medium,Yes,1344,211.12,1555.12,2227.12,2189.12,0.4,65.6,Medium,Critical - Reorder Now
P1146,2024-05-26,S9,27,112,12,67,No,Medium,Yes,1344,218.96,1562.96,2346.96,2319.96,0.24,67.61,Medium,Critical - Reorder Now
P1147,2024-05-27,S3,258,80,4,84,No,Medium,Yes,320,117.19,437.19,997.19,739.19,3.22,64.07,Medium,Critical - Reorder Now
P1148,2024-05-28,S7,83,43,8,68,Yes,Medium,No,344,178.01,522.01,823.01,740.01,1.93,18.49,Low,Critical - Reorder Now
P1149,2024-05-29,S6,453,94,13,93,Yes,High,No,1222,202.47,1424.47,2082.47,1629.47,4.82,9.68,Low,Critical - Reorder Now
P1150,2024-05-30,S8,154,81,9,82,No,Medium,No,729,177.41,906.41,1473.41,1319.41,1.9,10.83,Low,Critical - Reorder Now
P1151,2024-05-31,S9,116,76,4,64,No,High,No,304,128.04,432.04,964.04,848.04,1.53,6.96,Low,Critical - Reorder Now
P1152,2024-06-01,S5,1,67,3,84,Yes,Low,No,201,101.49,302.49,771.49,770.49,0.01,19.76,Low,Critical - Reorder Now
P1153,2024-06-02,S1,92,68,8,67,Yes,Low,Yes,544,178.78,722.78,1198.78,1106.78,1.35,6.3,Low,Critical - Reorder Now
P1154,2024-06-03,S19,165,65,14,75,No,High,Yes,910,228.38,1138.38,1593.38,1428.38,2.54,54.96,Medium,Critical - Reorder Now
P1155,2024-06-04,S10,386,58,5,74,No,Medium,No,290,137.09,427.09,833.09,447.09,6.66,22.26,Low,Critical - Reorder Now
P1156,2024-06-05,S12,399,96,2,60,No,High,No,192,92.07,284.07,956.07,557.07,4.16,23.79,Low,Low Stock
P1157,2024-06-06,S15,349,98,10,81,Yes,Medium,No,980,187.87,1167.87,1853.87,1504.87,3.56,23.2,Low,Critical - Reorder Now
P1158,2024-06-07,S9,295,77,9,62,No,Medium,No,693,193.69,886.69,1425.69,1130.69,3.83,35.1,Low,Critical - Reorder Now
P1159,2024-06-08,S20,257,107,3,97,No,High,No,321,95.38,416.38,1165.38,908.38,2.4,22.28,Low,Critical - Reorder Now
P1160,2024-06-09,S17,80,99,12,73,No,High,No,1188,213.32,1401.32,2094.32,2014.32,0.81,27.47,Low,Critical - Reorder Now
P1161,2024-06-10,S17,424,62,2,95,No,Medium,Yes,124,78.65,202.65,636.65,212.65,6.84,57.15,Medium,Low Stock
P1162,2024-06-11,S20,267,89,1,77,No,High,No,89,60.49,149.49,772.49,505.49,3.0,19.23,Low,Low Stock
P1163,2024-06-12,S12,418,60,14,77,No,Medium,Yes,840,226.35,1066.35,1486.35,1068.35,6.97,68.82,Medium,Critical - Reorder Now
P1164,2024-06-13,S7,234,115,8,62,No,High,No,920,182.61,1102.61,1907.61,1673.61,2.03,37.3,Low,Critical - Reorder Now
P1165,2024-06-14,S2,320,38,11,69,No,Low,Yes,418,207.83,625.83,891.83,571.83,8.42,68.94,Medium,Critical - Reorder Now
P1166,2024-06-15,S3,310,35,3,98,No,Medium,No,105,94.91,199.91,444.91,134.91,8.86,13.37,Low,Low Stock
P1167,2024-06-16,S17,300,56,7,60,No,Low,No,392,172.25,564.25,956.25,656.25,5.36,21.24,Low,Critical - Reorder Now
P1168,2024-06-17,S5,462,93,1,86,No,High,No,93,58.05,151.05,802.05,340.05,4.97,6.77,Low,Low Stock
P1169,2024-06-18,S17,473,80,1,86,No,Low,No,80,58.05,138.05,698.05,225.05,5.91,12.02,Low,Low Stock
P1170,2024-06-19,S17,356,5,12,70,No,High,No,60,216.14,276.14,311.14,0.0,71.2,10.4,Low,Healthy
P1171,2024-06-20,S17,212,59,9,64,No,Medium,No,531,192.06,723.06,1136.06,924.06,3.59,11.12,Low,Critical - Reorder Now
P1172,2024-06-21,S2,61,26,12,66,No,High,No,312,219.9,531.9,713.9,652.9,2.35,8.8,Low,Critical - Reorder Now
P1173,2024-06-22,S2,48,44,8,78,No,High,No,352,170.34,522.34,830.34,782.34,1.09,22.65,Low,Critical - Reorder Now
P1174,2024-06-23,S5,126,105,12,88,No,Medium,Yes,1260,199.22,1459.22,2194.22,2068.22,1.2,55.45,Medium,Critical - Reorder Now
P1175,2024-06-24,S1,222,115,13,74,No,High,No,1495,221.05,1716.05,2521.05,2299.05,1.93,30.61,Low,Critical - Reorder Now
P1176,2024-06-25,S1,408,5,3,94,Yes,Medium,No,15,96.79,111.79,146.79,0.0,81.6,15.53,Low,Overstock
P1177,2024-06-26,S19,278,69,6,96,No,High,No,414,135.55,549.55,1032.55,754.55,4.03,23.04,Low,Critical - Reorder Now
P1178,2024-06-27,S2,407,67,11,71,Yes,Medium,No,737,206.04,943.04,1412.04,1005.04,6.07,17.6,Low,Critical - Reorder Now
P1179,2024-06-28,S12,293,110,3,89,Yes,Low,Yes,330,99.14,429.14,1199.14,906.14,2.66,30.01,Low,Critical - Reorder Now
P1180,2024-06-29,S6,283,58,13,79,No,High,No,754,216.16,970.16,1376.16,1093.16,4.88,32.42,Low,Critical - Reorder Now
P1181,2024-06-30,S4,276,46,12,96,Yes,High,No,552,191.7,743.7,1065.7,789.7,6.0,19.98,Low,Critical - Reorder Now
P1182,2024-07-01,S11,437,25,4,62,Yes,High,Yes,100,129.13,229.13,404.13,0.0,17.48,30.98,Low,Healthy
P1183,2024-07-02,S17,106,83,1,68,Yes,Medium,No,83,62.94,145.94,726.94,620.94,1.28,25.74,Low,Critical - Reorder Now
P1184,2024-07-03,S6,145,85,5,98,Yes,High,No,425,122.53,547.53,1142.53,997.53,1.71,21.05,Low,Critical - Reorder Now
P1185,2024-07-04,S5,419,26,1,85,No,Medium,Yes,26,58.32,84.32,266.32,0.0,16.12,9.48,Low,Overstock
P1186,2024-07-05,S20,98,42,13,61,No,High,Yes,546,233.76,779.76,1073.76,975.76,2.33,81.87,High,Critical - Reorder Now
P1187,2024-07-06,S2,428,103,1,82,No,Low,No,103,59.14,162.14,883.14,455.14,4.16,10.36,Low,Low Stock
P1188,2024-07-07,S6,374,113,10,82,No,High,Yes,1130,187.01,1317.01,2108.01,1734.01,3.31,67.26,Medium,Critical - Reorder Now
P1189,2024-07-08,S11,72,84,11,80,Yes,Low,No,924,197.94,1121.94,1709.94,1637.94,0.86,9.21,Low,Critical - Reorder Now
P1190,2024-07-09,S16,436,12,11,75,Yes,Medium,No,132,202.44,334.44,418.44,0.0,36.33,17.59,Low,Healthy
P1191,2024-07-10,S16,485,66,14,68,No,Low,No,924,235.48,1159.48,1621.48,1136.48,7.35,14.16,Low,Critical - Reorder Now
P1192,2024-07-11,S1,121,51,7,72,No,High,No,357,163.64,520.64,877.64,756.64,2.37,27.46,Low,Critical - Reorder Now
P1193,2024-07-12,S9,29,21,12,87,No,High,No,252,200.16,452.16,599.16,570.16,1.38,30.6,Low,Critical - Reorder Now
P1194,2024-07-13,S6,187,21,6,86,No,Medium,No,126,142.2,268.2,415.2,228.2,8.9,27.63,Low,Critical - Reorder Now
P1195,2024-07-14,S16,363,94,2,76,No,High,No,188,85.94,273.94,931.94,568.94,3.86,10.79,Low,Low Stock
